,id,Year,Name,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
5311,84,2020,Gunjan Saxena: The Kargil Girl,112 min,"Action, Biography, Drama",5.3,25005,Sharan Sharma,Janhvi Kapoor,Pankaj Tripathi,Angad Bedi
12632,85,2020,Sayonee,111 min,"Action, Musical, Romance",7.6,566,Nitin Gupta,Abhay Singhal,Tanmay Ssingh,Musskan Sethi
13708,86,2020,Taish,143 min,"Action, Thriller",7.5,3703,Bejoy Nambiar,Jim Sarbh,Harshvardhan Rane,Pulkit Samrat
3059,87,2020,Chintu Ka Birthday,80 min,"Drama, War",7.8,4063,Devanshu Singh,Satyanshu Singh,Vinay Pathak,Tillotama Shome
8928,88,2020,Maska,111 min,"Comedy, Drama, Romance",5.8,1317,Neeraj Udhwani,Prit Kamani,Manisha Koirala,Shirley Setia
5250,89,2020,Gulabo Sitabo,124 min,"Comedy, Drama",6.3,11364,Shoojit Sircar,Amitabh Bachchan,Ayushmann Khurrana,Vijay Raaz
2968,90,2020,Chhapaak,120 min,"Biography, Drama",5.1,25070,Meghna Gulzar,Deepika Padukone,Vikrant Massey,Madhurjeet Sarghi
13612,91,2020,Suraj Pe Mangal Bhari,139 min,Comedy,5.9,3011,Abhishek Sharma,Manoj Bajpayee,Fatima Sana Shaikh,Vijay Raaz
15035,92,2020,Welcome Home,126 min,"Crime, Drama, Horror",7.5,2413,Pushkar Mahabal,Kashmira Irani,Swarda Thigle,Shashi Bhushan
62,93,2019,22 Yards,126 min,Sport,6.1,361,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor
10527,94,2019,Panipat,165 min,"Action, Drama, History",5.3,4426,Ashutosh Gowariker,Arjun Kapoor,Sanjay Dutt,Kriti Sanon
3520,95,2019,De De Pyaar De,135 min,"Comedy, Drama, Romance",6.6,7329,Akiv Ali,Ajay Devgn,Tabu,Rakul Preet Singh
1916,96,2019,Batla House,146 min,"Action, Crime, Drama",7.2,10092,Nikkhil Advani,John Abraham,Nora Fatehi,Mrunal Thakur
10839,97,2019,Photograph,110 min,"Drama, Romance",6.9,4505,Ritesh Batra,Nawazuddin Siddiqui,Sanya Malhotra,Sachin Khedekar
